,ABO,AEG,AIG,ALT,AND,ANT,ARH,ARO,ATT,BAN,BAS,BEH,BER,BEZ,BIA,BIE,BIN,BIV,BIZ,BLA,BOL,BOU,BRL,BRZ,BUF,BUS,CDF,CDM,CEV,CGI,CHA,CHB,CHD,CHM,CHU,CHZ,CIM,CMA,COM,COV,COY,CRM,DAV,DEM,DIA,DIS,DOL,EBK,EGH,EGO,EIN,ELM,ENG,EVI,EVO,FAH,FLU,FRE,FRU,GEN,GES,GIH,GLA,GOE,GOR,GOS,GRA,GRC,GRE,GRH,GRO,GSB,GUE,GUT,GVE,HAI,HLL,HOE,ILZ,INT,JUN,KLO,KOP,LAC,LAE,LAG,LAT,LEI,LUG,LUZ,MAG,MAH,MAR,MAS,MER,MLS,MOA,MOB,MOE,MRP,MSK,MTE,MTR,MUB,MVE,NAP,NAS,NEU,OBR,ORO,OTL,PAY,PIL,PIO,PLF,PMA,PRE,PSI,PUY,QUI,RAG,REH,ROB,ROE,RUE,SAE,SAG,SAM,SBE,SBO,SCM,SCU,SHA,SIA,SIM,SIO,SMA,SMM,SPF,SRS,STC,STG,STK,TAE,THU,TIT,UEB,ULR,VAB,VAD,VEV,VIO,VIS,VIT,VLS,WAE,WFJ,WYN,ZER
lon,7.56100,8.60800,6.92400,8.62200,9.43200,8.58100,9.56700,9.67900,7.26900,7.52900,7.58400,10.0200,7.46400,8.23300,8.97800,6.34200,8.19200,9.66900,9.26700,7.82300,7.38400,6.85700,6.61000,8.06100,10.2670,8.08000,6.79200,7.09800,8.60300,6.22800,7.05400,6.31200,7.14000,6.97900,9.53100,8.46500,8.79200,9.18000,8.93500,9.82100,7.09100,7.05900,9.84400,7.35000,7.20400,8.85300,6.09900,9.10800,8.09300,8.00500,8.75700,9.17500,8.41100,7.02700,7.50900,6.94100,8.02000,6.57600,7.65800,9.01800,8.52300,8.19000,9.06700,7.97400,7.78600,8.59500,7.11400,7.83700,7.41500,8.33300,9.16400,7.17100,8.61600,9.27900,6.12800,9.02400,8.47000,8.94200,9.21500,7.87000,7.98500,8.53600,7.60600,8.85900,8.39700,7.80600,9.75400,8.18800,8.96000,8.30100,8.93400,6.56800,7.01700,7.07000,8.16900,7.01800,8.23300,7.22500,7.87800,7.81500,7.28300,7.62400,8.92500,7.27800,7.46100,7.94000,10.2610,6.95300,9.61300,6.85800,8.78700,6.94200,8.25200,8.68800,7.26600,9.53000,6.44300,8.22700,6.66800,9.21600,9.50300,8.51800,10.0630,8.51300,7.87900,9.34300,8.63700,9.87900,9.18500,8.93200,8.94000,10.2830,8.62000,9.76200,8.05600,7.33000,8.56600,10.4260,8.01200,9.66800,7.68700,9.39900,8.98100,8.90500,7.58500,8.42600,8.49000,8.30800,9.55400,9.51800,6.81500,9.62800,7.84300,6.71000,9.18900,8.67800,9.80600,7.78700,7.75200
lat,46.4920,47.1340,46.3270,46.8870,46.6100,46.6310,47.4840,46.7930,46.0990,46.9780,47.5410,46.4090,46.9910,47.5570,46.3360,46.5250,46.3680,46.4620,47.5090,46.4200,46.6240,46.3930,46.9840,46.7410,46.6480,47.3840,47.0830,46.3920,46.3200,46.4010,47.1320,46.6700,46.4800,47.0490,46.8700,47.1880,46.2000,46.8420,46.4600,46.4180,47.1810,47.0480,46.8130,47.3520,46.3270,46.7070,46.4250,47.2730,46.4270,47.1790,47.1330,46.9240,46.8220,46.1830,46.1120,47.4240,46.8890,46.8410,46.5990,45.9280,46.9960,46.8490,47.0350,47.3630,45.9840,46.6930,46.7710,46.1950,47.1790,46.5720,46.2550,45.8690,46.6520,47.6020,46.2480,47.6510,47.6970,47.3710,46.7750,46.6720,46.5480,47.4800,47.1190,47.1790,47.4820,46.9400,46.6270,47.5970,46.0040,47.0360,46.1600,46.7370,46.1190,46.6560,46.7320,46.5460,47.2440,46.0710,47.5720,45.9570,46.9520,46.1480,46.4100,46.9730,46.2990,47.0050,46.8170,47.0000,47.3770,46.5720,46.1720,46.8120,46.9790,46.5150,46.7480,46.5770,46.4840,47.5360,46.5120,47.1290,47.0170,47.4280,46.3470,46.4430,47.4350,47.2490,47.0810,46.5260,46.4640,45.8430,47.2250,46.7930,47.6900,46.4320,46.1970,46.2190,47.3780,46.6020,46.9470,46.9760,47.5720,47.4250,47.6690,47.4800,46.7500,46.7710,47.3510,46.5050,46.7550,47.1270,46.4710,46.3530,46.3030,46.6220,46.6280,47.2210,46.8330,47.2550,46.0290
